Phrase,No. of Emails,Fitness
"remove,looking,prom,products,program,event",2783,22.264002
"anti,bar,office,computron,details",2218,22.18
"world,limited,font",1582,22.148
"details,statement,within",1577,22.078001
"doll,strong",1373,21.968
"program,event,stock",1568,21.952
"prom,hour,engine,girl",1826,21.912003
"link,hours,personal,law",1824,21.888
"million,reader,content",1563,21.882
"email,failure,doll,break,email,failure",2734,21.872
"link,hours,communication",1560,21.84
"bank,international,wind,content",1815,21.78
"project,internet",1359,21.744001
"increase,draw,personal,law,fun",2165,21.65
"doll,break",1345,21.52
"project,quit,private,program",1785,21.42
"million,reader,website,program,der,entertainment",2670,21.36
"remove,major",1334,21.344002
"security,fast,body",1524,21.335999
"bank,international,wind",1524,21.335999
"million,technology",1333,21.328001
"price,less,international,price,without,plans",2663,21.304
"late,perfect",1330,21.28
"prom,hour",1329,21.264002
"prices,wind,content",1518,21.251999
"office,health,fat,pill",1760,21.12
"prom,products",1318,21.088001
"power,fast,anti,shareholder",1750,21
"software,watch,color",1498,20.972
"best,sex",1310,20.96
"world,health,awesome",1495,20.93
"phone,communication,statement,interested",1730,20.76
"fun,always,professional,remove,stock,save,increase",3459,20.754002
"anti,bar",1297,20.751999
"transfer,wait,interested",1480,20.72
"power,fast,anti,shareholder,best,phone",2583,20.664001
"interested,computer,project,million,reader,content",2577,20.616001
"without,drug,medic",1468,20.552
"business,address,perfect,database,air,highly,power",3422,20.532001
"increase,draw,personal,law",1707,20.484001
"office,health",1280,20.48
"money,suite,choose,desire,looking,body",2558,20.464
"auto,face,results",1459,20.426
"order,investment,full,over,office,computron,details",3402,20.412
"best,phone",1273,20.368
"bank,international,wind,security,transfer",2036,20.36
"website,last,website",1450,20.3
"investment,security",1267,20.272001
"auto,face,results,bar,lose",2024,20.24
"bar,lose,multi",1444,20.216
"program,der,entertainment,last",1683,20.196001
"million,reader",1260,20.16
"link,hours",1260,20.16
"doll,software,instant,suite,auto,face",2516,20.128
