Phrase,No. of Emails,Fitness
"price,less,international,money",3155,37.86
"over,power,interested,computer,project",3008,30.08
"order,investment,full,money,suite",3064,30.64
"over,cheap,order,investment",2805,33.660004
"over,order,hour",2684,37.576
"late,professional,online,full",2855,34.260002
"money,statements,project,internet",2364,28.368
"address,website,last",2521,35.294
"within,last,spam,doll,break",2348,23.48
"more,price,less",3475,48.65
"more,internationa,over,cheap,best",3803,38.03
"more,software,money,program,event,online,increase",4210,25.26
"more,internationa,size,business,link",4121,41.21
"more,internationa,size,bank,over,order,hour",4178,25.068
"email,full,money",2927,40.977997
"email,extra,money,statements,office,computron",3342,26.736
"email,within,medic,best,sex",3429,34.29
"money,statements,world,interested,computer,project",3038,24.304
"price,world,versions,professional",2824,33.888
"online,full,fun,business",2995,35.940002
"order,investment,full,late,professional,details",3243,25.944002
"address,event,prom,hour,online,full",3321,26.568
"money,program,event,online,increase",2915,29.15
"order,investment,fun,always,professional",2870,28.7
"money,suite,prices,internet,limited,font",3147,25.176
"remove,looking,address",2382,33.348
"investment,security,world,versions,link,medic",2981,23.848
"million,watch,website,last",2348,28.176
